State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
SA,6,1009578,144226,2,30, E,EDMONDS,Robert George,21,13,5125,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,31, E,FITZPATRICK,Peter,1,0,47,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,32, F,RUSSELL,Paul,18,11,6762,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,33, F,McCABE,David,2,1,61,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,34, G,STEPHEN,Joseph,1,0,2504,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,35, G,REVINK,Frank,1,0,29,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,36, H,CONNOR,Garry,10,6,3176,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,37, H,GROVES,Angela,1,0,88,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,38, I,LANG,Simon,0,0,1149,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,39, I,DAWSON,Jamie,0,0,24,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,40, J,WRIGHT,Penny,173,107,133451,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,41, J,MONTGOMERY,Sandy,3,1,423,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,42, J,MILLER,Jeremy John Scoular,7,4,525,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,43, K,ADAMS,Bill,3,1,1502,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,44, K,JACKSON,Neil,0,0,27,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,45, L,LARSSON,Steve,12,7,11364,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,46, L,BORSAK,Robert,1,0,68,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,47, M,WALKER,Jeanie,11,6,6873,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,48, M,CASTRIQUE,Andrew,0,0,108,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,49, N,CLARKE,Renfrey,0,0,973,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,50, N,RATCLIFFE,Ruth,0,0,66,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,51, O,SHARRAD,Scott James,0,0,912,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,52, O,CLARKE,Moira,0,0,41,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,53, P,KERRY,Nick,3,1,5542,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,54, P,CLARK,Megan,0,0,43,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,55, Q,REID,Ari,5,3,16586,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,56, Q,VIRGO,Jason,3,1,238,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,57, R,DAY,Bob,9,5,40989,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,58, R,COLE,Andrew,0,0,118,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,59, R,HENNESSEY,Thea,1,0,125,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,60,UG,DRUMMOND,Michelle,5,3,842,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,1001, ,Exhausted,,8,4,4,0.624210841725400000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,2,1002, ,Gain/Loss,,0,19,19,0.000000000000000000000000000,,,0,"FISHER ,M has 229615 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.614204969492377. 373841 papers are involved from count number(s) 1."
SA,6,1009578,144226,3,19, A,ASHBY,Leon Neville,26,15,4645,0.614204969492377000000000000,,,0,""
SA,6,1009578,144226,3,20, A,ASHBY,Nathan,1,0,51,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,21, B,ALDRIDGE,Mark,8,4,2161,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,22, B,COCHRANE,Christopher,1,0,35,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,23, C,GALLACHER,Alex,0,0,144226,0.000000000000000000000000000,Elected,,1,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,24, C,McEWEN,Anne,0,0,240743,0.000000000000000000000000000,Elected,,3,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,25, C,WORTLEY,Dana,15,9,1393,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,26, D,FISHER,Mary Jo,-373841,-229615,144226,0.614204969492377000000000000,Elected,,2,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,27, D,EDWARDS,Sean,373081,229148,229826,0.614204969492377000000000000,Elected,True,4,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,28, D,FAWCETT,David,329,202,1808,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,29, D,SALU,Peter,86,52,475,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,30, E,EDMONDS,Robert George,32,19,5144,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,31, E,FITZPATRICK,Peter,8,4,51,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,32, F,RUSSELL,Paul,15,9,6771,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,33, F,McCABE,David,3,1,62,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,34, G,STEPHEN,Joseph,16,9,2513,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,35, G,REVINK,Frank,1,0,29,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,36, H,CONNOR,Garry,10,6,3182,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,37, H,GROVES,Angela,1,0,88,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,38, I,LANG,Simon,1,0,1149,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,39, I,DAWSON,Jamie,0,0,24,0.000000000000000000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,40, J,WRIGHT,Penny,56,34,133485,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
SA,6,1009578,144226,3,41, J,MONTGOMERY,Sandy,1,0,423,0.614204969492377000000000000,,,0,"McEWEN ,A has 96517 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.250837493730167. 384779 papers are involved from count number(s) 1,2."
