State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,Changed,Order Elected,Comment
WA,6,1234219,176318,107,31, D,FLEAY,Ronnie,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,32, D,ROSE,Michael Eric,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,33, E,CORMANN,Mathias,0,0,176318,0.000000000000000000000000000,Elected,,1,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,34, E,BACK,Chris,0,0,176318,0.000000000000000000000000000,Elected,,3,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,35, E,ADAMS,Judith,0,0,176318,0.000000000000000000000000000,Elected,,5,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,36, E,MOURITZ,Jane,1,0,1488,0.666551304818153000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,37, E,HUSTON,Jonathan,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,38, F,SUDHOLZ,Judy F,0,0,1253,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,39, F,SMITH,Stuart Bruce,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,40, G,MARTIN,Justine,0,0,28018,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,41, G,COLEMAN,Mark Peter,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,42, H,PETERSON,Ben,0,0,1705,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,43, H,GRAY,Julie,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,44, I,WOODS,Beau,0,0,2039,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,45, I,DEWAR,Heather,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,46, J,McNEILL,Elaine,0,0,9358,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,47, J,NARDIZZI,Joe,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,48, K,CURTIS,Guy,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,49, K,THOMPSON,Andrew,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,50, L,ROSE,Linda,1,0,14305,0.666551304818153000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,51, L,FUHRMANN,Steve,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,52, M,BRADSHAW,Craig,0,0,7664,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,53, M,COOK,Bill,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,54, N,YOUNG,Paul James,0,0,5887,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,55, N,CORICA,Matthew,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,56, O,EVANS,Chris,0,0,176318,0.000000000000000000000000000,Elected,,2,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,57, O,STERLE,Glenn,0,0,176318,0.000000000000000000000000000,Elected,,4,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,58, O,PERDON,Wendy,0,0,13771,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,59, O,MacFARLANE,Peter,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,60, P,WALMSLEY,Mark,0,0,14551,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,61, P,DIXON,Mark,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,62, Q,YOUNG,Trevor,0,0,23061,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,63, Q,DUNJEY,Lachlan,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,64, R,PEAKE,Paul,0,0,7494,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,65, R,PEAKE,Christine,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,66, S,GILMORE,Julie,0,0,1682,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,67, S,POLAIN,Aileen,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,68, T,MAYER,Daniel J,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,69, T,HOFFMAN,Keturah,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,70, U,GEORGATOS,Gerry,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,71, U,HAYWARD,Bill,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,72, U,MACKAY,Marianne,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,73, U,MENKENS,Lara,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,74, V,COWANS,Scott,0,0,1681,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,75, V,GOODLAD,John,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,76, V,VERSTEEGEN,James,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,77,UG,STEINECK,Rosemary,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,1001, ,Exhausted,,0,0,31,0.666551304818153000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,107,1002, ,Gain/Loss,,0,1,72,0.000000000000000000000000000,,,0,"Preferences with a transfer value of 0.517663794282587 will be distributed in count # 108 after the exclusion of 1 candidate(s). Preferences received at count(s) 3,81."
WA,6,1234219,176318,108,23, A,FELS,Anthony,1,0,3576,0.517663794282587000000000000,,,0,""
WA,6,1234219,176318,108,24, A,CHANDRA,Felly,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
WA,6,1234219,176318,108,25, B,EMBRY,Paddy,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
WA,6,1234219,176318,108,26, B,FINNEGAN,Juanita,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
WA,6,1234219,176318,108,27, C,SIEWERT,Rachel,4,2,172572,0.517663794282587000000000000,,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
WA,6,1234219,176318,108,28, C,MUIR,Kado,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
WA,6,1234219,176318,108,29, C,CUNNINGHAM,Christine,-10,-5,0,0.517663794282587000000000000,Excluded,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
WA,6,1234219,176318,108,30, D,McCOURT,John,2,1,42419,0.517663794282587000000000000,,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
WA,6,1234219,176318,108,31, D,FLEAY,Ronnie,0,0,0,0.000000000000000000000000000,Excluded,,0,"Preferences with a transfer value of 0.333393851367707 will be distributed in count # 109 after the exclusion of 1 candidate(s). Preferences received at count(s) 4."
