State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
TAS,6,326846,46693,2,20, D,SHERRY,Nick,-127677,-80984,46693,0.634288086342881,Elected, ,1,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,21, D,BROWN,Carol,125961,79895,82205,0.634288086342881,Elected,#,4,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,22, D,BILYK,Catryna,969,614,1682,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,23, E,CREA,Pat,36,22,1996,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,24, E,SHACKCLOTH,Joan,22,13,100,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,25, F,COLBECK,Richard M,0,0,119183,0,Elected, ,2,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,26, F,BUSHBY,David,90,57,2216,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,27, F,MORRIS,Don,19,12,873,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,28, G,OTTAVI,Dino,34,21,1287,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,29, G,COOK,Mick,6,3,51,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,30, G,SMALLBANE,Chris,4,2,86,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,31, H,DOYLE,Robyn,6,3,229,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,32, H,HAMMOND,David,1,0,42,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,33, I,IRELAND,Bede,3,1,288,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,34, I,HAMILTON,Luke,1,0,15,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,35, J,LARNER,Caroline,8,5,301,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,36, J,PHIBBS,Michael,1,0,17,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,37, K,PETRUSMA,Jacquie,63,39,6394,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,38, K,BENNETT,Andrew,11,6,162,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,39, K,ROBERTS,Betty,1,0,152,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,1001,  ,Exhausted,,31,19,19,0.634288086342881,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,2,1002,  ,Gain/Loss,,0,16,16,0,, ,0,"COLBECK, R has 72490 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.60822433. 119183 papers are involved from count number(s) 1"
TAS,6,326846,46693,3,12, A,CASHION,Debra,21,12,2461,0.608224327295,, ,0,""
