State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
SA ,6,967738,138249,1,59, P,HAHNHEUSER,Ralph,834,834,834,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,60, P,LANG,Benno,55,55,55,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,61,UG,ARMOUR,Richard,437,437,437,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,62,UG,LAWRIE,John,126,126,126,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,63,UG,LUTZ,Richard,115,115,115,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,1001,  ,Exhausted,,0,0,0,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,1,1002,  ,Gain/Loss,,0,0,0,1,, ,0,"MINCHIN, N has 318284 surplus vote(s) to be distributed in count # 2 at a transfer value of 0.69717633. 456533 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,17, A,KLOTZ,Rolf,2,1,1865,0.697176326793463,, ,0,""
SA ,6,967738,138249,2,18, A,SMITH,Mark,0,0,38,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,19, A,MUNRO,Robyn,0,0,25,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,20, A,MAY,Ivan,0,0,30,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
