State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
WA ,6,1128155,161166,2,32, G,WATT,Peter,1,0,92,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,33, G,GAGE,Norman,2,1,104,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,34, H,GILL,Geoff,63,44,9614,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,35, H,HENNING,Norm,2,1,130,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,36, I,HARRINGTON,Mal,4,2,1962,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,37, I,MANSELL,Brendan,0,0,21,0,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,38, J,GIBSON,Geoff,1,0,914,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,39, J,CRABBE,Stephen G,1,0,18,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,40, K,SIEWERT,Rachel,53,37,89754,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,41, K,HUGHES,Colin,3,2,362,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
