2022 Federal Election Senate First Preferences By Polling Place for Division 138 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:26 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,138,Page,2043,Alstonville,L,37975,0,L Above-the-line Votes,Indigenous - Aboriginal Party of Australia,14
NSW,138,Page,2043,Alstonville,L,36755,1,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,1
NSW,138,Page,2043,Alstonville,L,36766,2,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,0
NSW,138,Page,2043,Alstonville,M,37980,0,M Above-the-line Votes,"Shooters, Fishers and Farmers Party",24
NSW,138,Page,2043,Alstonville,M,37505,1,"DJURIC, Shane","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2043,Alstonville,M,37509,2,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2043,Alstonville,M,37511,3,"MILGATE, Brian","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2043,Alstonville,M,37513,4,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",0
NSW,138,Page,2043,Alstonville,N,37973,0,N Above-the-line Votes,Seniors United Party of Australia,2
NSW,138,Page,2043,Alstonville,N,36469,1,"KOCHER, Dessie",Seniors United Party of Australia,0
NSW,138,Page,2043,Alstonville,N,36473,2,"BENNIE, Ray",Seniors United Party of Australia,0
NSW,138,Page,2043,Alstonville,O,37971,0,O Above-the-line Votes,Informed Medical Options Party,7
NSW,138,Page,2043,Alstonville,O,36407,1,"O'NEILL, Michael",Informed Medical Options Party,2
NSW,138,Page,2043,Alstonville,O,36410,2,"BURNUM BURNUM, Marelle",Informed Medical Options Party,0
NSW,138,Page,2043,Alstonville,P,37985,0,P Above-the-line Votes,The Great Australian Party,5
NSW,138,Page,2043,Alstonville,P,37446,1,"HOPKINS, Matthew",The Great Australian Party,1
NSW,138,Page,2043,Alstonville,P,37449,2,"NOHRA, George",The Great Australian Party,0
NSW,138,Page,2043,Alstonville,Q,37979,0,Q Above-the-line Votes,Legalise Cannabis Australia,47
NSW,138,Page,2043,Alstonville,Q,36750,1,"BALDERSTONE, Michael",Legalise Cannabis Australia,0
NSW,138,Page,2043,Alstonville,Q,36754,2,"HESTER, Gail",Legalise Cannabis Australia,0
NSW,138,Page,2043,Alstonville,R,37974,0,R Above-the-line Votes,"FUSION: Science, Pirate, Secular, Climate Emergency",2
NSW,138,Page,2043,Alstonville,R,36465,1,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,138,Page,2043,Alstonville,R,36467,2,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",0
NSW,138,Page,2043,Alstonville,S,37986,0,S Above-the-line Votes,Pauline Hanson's One Nation,97
NSW,138,Page,2043,Alstonville,S,37750,1,"McCULLOCH, Kate",Pauline Hanson's One Nation,8
NSW,138,Page,2043,Alstonville,S,37752,2,"GRIGG, Colin",Pauline Hanson's One Nation,1
NSW,138,Page,2043,Alstonville,S,37754,3,"SMITH, Roger",Pauline Hanson's One Nation,0
NSW,138,Page,2043,Alstonville,T,37970,0,T Above-the-line Votes,Liberal Democrats,18
NSW,138,Page,2043,Alstonville,T,36414,1,"RUDDICK, John",Liberal Democrats,1
NSW,138,Page,2043,Alstonville,T,36418,2,"LARTER, John",Liberal Democrats,4
NSW,138,Page,2043,Alstonville,T,36422,3,"CALDWELL, James Arthur",Liberal Democrats,0
NSW,138,Page,2043,Alstonville,T,36427,4,"GUEST, Mark Antony",Liberal Democrats,0
NSW,138,Page,2043,Alstonville,U,37982,0,U Above-the-line Votes,Australian Values Party,0
NSW,138,Page,2043,Alstonville,U,36942,1,"CLANCY, Selena",Australian Values Party,0
NSW,138,Page,2043,Alstonville,U,36947,2,"GILBERT, Dave",Australian Values Party,0
NSW,138,Page,2043,Alstonville,V,37978,0,V Above-the-line Votes,Labor,385
